link,price,sold
https://www.lazada.vn/products/bo-dinh-tuyen-wifi-khong-day-di-dong-4g-usb-dongle-co-khe-cam-the-sim-150mbps-8-nguoi-dung-hotspot-wifi-modem-usb-cho-ket-noi-tren-duong-di-i2657299131.html,"₫238,000",91 sold
https://www.lazada.vn/products/bo-phat-wifi-tenda-f3-3-rau-modem-wifi-tenda-3-rau-chuan-toc-do-300-mbps-song-khoe-xuyen-tuong-cuc-kich-song-wifi-router-wifi-khong-day-i1803594283.html,"₫107,000",316 sold
https://www.lazada.vn/products/modem-wifi-3-rau-bo-phat-wifi-tplink-886n-song-xuyen-tuong-chuan-toc-do-450-mbps-cuc-kich-wifi-cuc-phat-wifi-xuyen-tuong-cuc-kich-wifi-khong-day-bo-kich-wifi-bo-phat-wifi-bao-hanh-6-thang-i1803528921.html,"₫99,000",303 sold
https://www.lazada.vn/products/modem-wifi-bo-phat-wifi-4-rau-tplink-5620-bang-tan-kep-chuan-ac1200-song-xuyen-tuong-gia-re-song-khoe-cuc-phat-wifi-4-rau-bo-phat-wifi-4-rau-tplink-xuyen-tuong-kich-song-wifi-khoe-xuyen-tuong-cuc-kich-song-wifi-bh-6-thang-i1803596512.html,"₫199,000",101 sold
https://www.lazada.vn/products/bo-phat-wifi-xuyen-tuong-tplink-6500-5-rau-bang-tan-kep-chuan-ac-1300-mbps-like-new-90-modem-wifi-tplink-router-wifi-xuyen-tuong-i1803533955.html,"₫270,000",70 sold
https://www.lazada.vn/products/bo-phat-wifi-tplink-940n-modem-wifi-router-tp-link-tl-wr940n-chinh-hang-cuc-phat-wifi-wr845n-thu-song-wifi-repeater-tp-link-940-wr1043nd-1043nd-i1299579538.html,"₫107,000",207 sold
https://www.lazada.vn/products/ciosi-modem-4g-usb-lte-bo-dinh-tuyen-wifi-khong-day-300mbps-cho-modem-3g-4g-usb-lte-voi-4-ang-ten-ngoai-80211g-diem-truy-cap-openwrtomni-ii-we1626-i1885759922.html,"₫219,843",5 sold
https://www.lazada.vn/products/cuc-phat-wifi-4-rau-pix-link-lv-wr08-modem-wifi-300mbps-cuong-do-song-khoe-phu-song-rong-hang-chinh-hang-i2005907241.html,"₫359,000",27 sold
https://www.lazada.vn/products/bo-phat-wifi-xiaomi-router-4c4a-dual-wifi-24-5g-bao-hanh-2-nam-i449218441.html,"₫209,000",55 sold
https://www.lazada.vn/products/router-wifi-khong-day-4g-lte-usb-dongle-150mbps-bang-thong-rong-di-dong-bo-tui-hotspot-usb-modem-danh-cho-mang-di-dong-truy-cap-i2891733212.html,"₫219,000",103 sold
https://www.lazada.vn/products/bo-phat-wifi-tp-link-841n-2-rau-co-chuc-nang-kich-wifi-khong-day-router-modem-phat-wifi-tplink-841-i844658774.html,"₫149,000",202 sold
https://www.lazada.vn/products/4g-lte-bo-dinh-tuyen-wi-fi-khe-cam-the-sim-khong-day-thiet-bi-dinh-tuyen-di-dong-3650mah-mo-khoa-modem-mini-ngoai-troi-hotspot-wifi-hotpot-cho-xe-i2573346037.html,"₫432,941",19 sold
https://www.lazada.vn/products/modem-viettel-h646fw-2-bang-tan-da-qua-su-dung-i2250529359.html,"₫80,000",24 sold
https://www.lazada.vn/products/hcm-hang-chinh-hang-modem-adsl-router-wifi-tp-link-150mbps-chipset-qualcomm-td-w8950n-i1084152057.html,"₫99,000",34 sold
